pathway	revised_bridge_class	strict_clinical_bridge_pass	context	context_label	NES	FDR	FDR_lt_0_05_star
HALLMARK_HYPOXIA	STRICT_BRIDGE_PASS	True	endo243	Endothelial IH dataset 1	1.45358903432419	0.0174280493834221	True
HALLMARK_HYPOXIA	STRICT_BRIDGE_PASS	True	endo205	Endothelial IH dataset 2	1.33328254424053	0.0226752901405183	True
HALLMARK_HYPOXIA	STRICT_BRIDGE_PASS	True	osaAM	OSA vs control (AM)	1.82426125773342	2.29161136045459e-05	True
HALLMARK_HYPOXIA	STRICT_BRIDGE_PASS	True	cpapAM	CPAP vs OSA (AM)	-1.45569282813493	0.0395045146127345	True
HALLMARK_ALLOGRAFT_REJECTION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.01503745404681	0.534631343759975	False
HALLMARK_ALLOGRAFT_REJECTION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.47057823349561	0.0141853970118542	True
HALLMARK_ALLOGRAFT_REJECTION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.81774060652972	4.5593987756357e-05	True
HALLMARK_ALLOGRAFT_REJECTION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.09976309719211	0.423382983064681	False
HALLMARK_ANGIOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.15731996044495	0.422347855004988	False
HALLMARK_ANGIOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.97713631487132	0.0015110428723415	True
HALLMARK_ANGIOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.41698770627019	0.0960922485586163	False
HALLMARK_ANGIOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.27088158803954	0.348609479044262	False
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.56281668530437	0.0040906161782055	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	2.29185839128971	4.7102559193637386e-11	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.84450357573704	4.5593987756357e-05	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.13971464202203	0.363005050505051	False
HALLMARK_ESTROGEN_RESPONSE_EARLY	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	0.787025681259271	0.938144329896907	False
HALLMARK_ESTROGEN_RESPONSE_EARLY	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.38570947134909	0.0183207329511848	True
HALLMARK_ESTROGEN_RESPONSE_EARLY	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.25107356559101	0.112194367069019	False
HALLMARK_ESTROGEN_RESPONSE_EARLY	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.93830596437811	1.60737076127521e-05	True
HALLMARK_HEDGEHOG_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.24967336796238	0.2685546875	False
HALLMARK_HEDGEHOG_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.14274800099152	0.302420009745006	False
HALLMARK_HEDGEHOG_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	0.809198713368659	0.806600294985251	False
HALLMARK_HEDGEHOG_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.0546990523474	0.54994124559342	False
HALLMARK_IL2_STAT5_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.12164490751942	0.363700564971751	False
HALLMARK_IL2_STAT5_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.33192746760818	0.0339691526896089	True
HALLMARK_IL2_STAT5_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.56109727188074	0.0023807203921525	True
HALLMARK_IL2_STAT5_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.35213561100349	0.097394536540846	False
HALLMARK_INFLAMMATORY_RESPONSE	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.46401575932765	0.0199799851048805	True
HALLMARK_INFLAMMATORY_RESPONSE	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.81768786348796	6.04796867976838e-05	True
HALLMARK_INFLAMMATORY_RESPONSE	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.72006197681971	0.0001910191001637	True
HALLMARK_INFLAMMATORY_RESPONSE	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.0129931670825	0.565867794486216	False
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.85130219824646	0.0002496312106701	True
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.66362115098214	0.0007374214044996	True
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.33661571771631	0.0349147761138771	True
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.26257196982988	0.199548846087107	False
HALLMARK_PROTEIN_SECRETION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	2.48560415898228	2.17106751011252e-08	True
HALLMARK_PROTEIN_SECRETION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.06074155824953	0.327063106796117	False
