gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
COL1A2	1.39029288292234	9.26194866264968e-06	0.0513980501378305	GSE243023	False
ATP7A	1.16709576454124	1.13120929529156e-05	0.0513980501378305	GSE243023	False
SGIP1	0.936390899596919	1.52425804779253e-05	0.0513980501378305	GSE243023	False
FBXO32	1.00051383815584	1.54778439020795e-05	0.0513980501378305	GSE243023	False
P4HA1	0.827281811008974	2.39815796030718e-05	0.0609144036684042	GSE243023	False
PCDH9	1.30134827917736	2.75153521049782e-05	0.0609144036684042	GSE243023	False
HMGB2	-0.68849458318604	3.38250887136232e-05	0.0630788953476463	GSE243023	False
MTMR10	0.711693657975397	3.79907522985147e-05	0.0630788953476463	GSE243023	False
SMOX	-1.19045357837521	4.45479359196787e-05	0.0648655933116522	GSE243023	False
HMOX1	-1.25640423649672	4.88335416032916e-05	0.0648655933116522	GSE243023	False
CREB5	0.910296377245605	7.53185696897382e-05	0.0761494274373685	GSE243023	False
PDZD2	1.1740282772742	7.62333780543986e-05	0.0761494274373685	GSE243023	False
TRPS1	1.22132262118507	8.16962885892689e-05	0.0761494274373685	GSE243023	False
TSPAN15	-1.28785889018808	8.51521307215726e-05	0.0761494274373685	GSE243023	False
PLK1	-0.910457253276946	9.09794588088006e-05	0.0761494274373685	GSE243023	False
RALGDS	-1.03708912692764	9.17255769779339e-05	0.0761494274373685	GSE243023	False
CBSL	-2.43851168495879	0.0001100485623211	0.084182067152854	GSE243023	False
ADPRH	0.96161896504187	0.0001218808175265	0.084182067152854	GSE243023	False
ZNF292	0.946561192075342	0.0001272210416052	0.084182067152854	GSE243023	False
FAT3	2.19337924462574	0.0001301104350863	0.084182067152854	GSE243023	False
BCS1L	-0.644079457440175	0.0001358418492063	0.084182067152854	GSE243023	False
ATF6B	-0.93703946604206	0.0001462809246497	0.084182067152854	GSE243023	False
C2CD4A	1.60180649274442	0.0001526551022353	0.084182067152854	GSE243023	False
C5orf46	2.8062876087375	0.0001646710401882	0.084182067152854	GSE243023	False
GFRA1	1.54635188221549	0.0001652059810182	0.084182067152854	GSE243023	False
CLSTN3	-0.924394559260086	0.0001723399395237	0.084182067152854	GSE243023	False
GOLGA5	0.618616056412404	0.0001754250506668	0.084182067152854	GSE243023	False
FABP4	1.25368423387273	0.0001774522231634	0.084182067152854	GSE243023	False
RXRB	-0.637836470516307	0.0001927017926622	0.0856359486211214	GSE243023	False
CRISPLD2	2.37109035517319	0.0001945832254679	0.0856359486211214	GSE243023	False
KAT2A	-0.746421653423314	0.0001998580446627	0.0856359486211214	GSE243023	False
ANKRD37	1.82641005312362	0.0002133284939383	0.0858805994620671	GSE243023	False
TPCN1	-1.00886025572131	0.0002133599173566	0.0858805994620671	GSE243023	False
GCH1	1.41776455230444	0.0002205207682121	0.0861522754165426	GSE243023	False
THTPA	-1.21078383913759	0.0002425333127309	0.0920448569430026	GSE243023	False
ITPKC	-0.867357243135561	0.0002609282395361	0.0962752723821676	GSE243023	False
DSP	1.0752588061832	0.0002877458727117	0.102622594233977	GSE243023	False
THRA	-0.693555612805228	0.000293582668139	0.102622594233977	GSE243023	False
HCLS1	-1.10151984585197	0.0003034639328301	0.103356703071366	GSE243023	False
ALCAM	0.729147245072769	0.0003390196387508	0.109904241784333	GSE243023	False
