gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
MCM2	True	3.7120671297902166e-08	-0.633923950850568	-1.12990826648042	-0.451417312
MCM7	True	3.7120671297902166e-08	-0.542478089633707	-0.88727289947207	-0.75093536725
SLC38A2	True	5.0850037217760184e-08	1.02279661087166	0.203180247289749	2.07523361425
MCM5	True	1.3845356719014814e-07	-1.06577267839702	-1.08384894053367	-0.426531557
SORD	True	3.166079698568111e-07	-0.322321993505303	-0.507300487444286	-0.96555352575
PRPF31	True	3.312826818452425e-07	-0.500897351626019	-0.444686456364916	-0.9550869505
RNF19A	True	3.312826818452425e-07	0.420937680786137	0.462935408796332	0.8344704765
FUS	True	7.270789726130665e-07	-0.433797263337249	-0.529974126110105	-0.6184053135
IDH2	True	7.270789726130665e-07	-0.716049473779099	-0.66242894149188	-0.73699816525
TRAP1	True	1.092905206128285e-06	-0.903079695372263	-0.478597973992796	-0.4302396545
LIG1	True	1.429655877326163e-06	-0.584967324756917	-0.506365965340199	-0.50749591575
IPO11	True	1.5058487163963887e-06	0.369431379421322	0.393772106024495	0.93836505975
MAP3K1	True	2.015602896307341e-06	0.861748418633781	0.688070215837039	0.706312119
ITM2B	True	2.193167427093032e-06	0.433056893928914	0.613702347112268	0.818370767500001
SSRP1	True	2.3966459734199334e-06	-0.50317839921502	-0.554997291541279	-0.42271705
FILIP1L	True	2.53924996145429e-06	0.412927543109096	0.716723345225617	1.271693875875
FN3KRP	True	3.073716882404957e-06	-0.644178261837642	-0.450117050349332	-0.364805373
SERINC1	True	3.073716882404957e-06	0.47956070111321	0.418199981913128	0.64636865425
C2CD4B	True	3.075256224540608e-06	0.840851106443992	1.05394226253378	1.03022799975
RB1CC1	True	5.346956694858426e-06	0.523452272306407	0.282059201911728	0.95501875625
YPEL5	True	5.560450152823069e-06	0.454139361543523	0.485306401555755	0.533609344
PRPF19	True	5.6005800546763525e-06	-0.338800754091835	-0.414585179858856	-0.58756289925
TBC1D9	True	5.6005800546763525e-06	0.492978265323695	0.384968387660424	0.572159306
TMEM50B	True	5.6005800546763525e-06	0.24912142978511	0.364918477372449	1.536828774
XRCC2	True	5.719527192643977e-06	-0.36279859247419	-1.10687313644487	-1.0163691315
BMI1	True	6.526816401349976e-06	0.792086443662659	0.221589677585539	0.703999222
CLN6	True	6.526816401349976e-06	-0.517946489250256	-0.615985664930261	-0.48235171675
DDX39B	True	6.526816401349976e-06	-0.262732671229381	-0.340424255989066	-0.822757398
PJA2	True	6.526816401349976e-06	0.592027306933805	0.304842340590076	0.9753397945
