gene_symbol	meta_direction	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
SLC38A2	positive	5.0850037217760184e-08	1.02279661087166	0.203180247289749	2.07523361425
RNF19A	positive	3.312826818452425e-07	0.420937680786137	0.462935408796332	0.8344704765
IPO11	positive	1.5058487163963887e-06	0.369431379421322	0.393772106024495	0.93836505975
MAP3K1	positive	2.015602896307341e-06	0.861748418633781	0.688070215837039	0.706312119
ITM2B	positive	2.193167427093032e-06	0.433056893928914	0.613702347112268	0.818370767500001
FILIP1L	positive	2.53924996145429e-06	0.412927543109096	0.716723345225617	1.271693875875
MCM2	negative	3.7120671297902166e-08	-0.633923950850568	-1.12990826648042	-0.451417312
MCM7	negative	3.7120671297902166e-08	-0.542478089633707	-0.88727289947207	-0.75093536725
MCM5	negative	1.3845356719014814e-07	-1.06577267839702	-1.08384894053367	-0.426531557
SORD	negative	3.166079698568111e-07	-0.322321993505303	-0.507300487444286	-0.96555352575
PRPF31	negative	3.312826818452425e-07	-0.500897351626019	-0.444686456364916	-0.9550869505
FUS	negative	7.270789726130665e-07	-0.433797263337249	-0.529974126110105	-0.6184053135
