pathway	NES	FDR	collection	selection_rule	minus_log10_FDR
HALLMARK_HYPOXIA	1.39343578928236	0.0226752901405183	Hallmark	prespecified strict bridge	1.6444471472394253
HALLMARK_E2F_TARGETS	-2.81194372200451	1.84688597263662e-09	Hallmark	lowest endothelial_max_FDR excluding Hypoxia	8.733559917219967
HALLMARK_DNA_REPAIR	-1.97943623652662	7.1613275385875e-06	Hallmark	lowest endothelial_max_FDR excluding Hypoxia	5.145006462434999
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.94237381211376	0.0002496312106701	Hallmark	lowest endothelial_max_FDR excluding Hypoxia	3.602701117008772
HALLMARK_UV_RESPONSE_DN	1.90443419783564	0.0003221783542522	Hallmark	lowest endothelial_max_FDR excluding Hypoxia	3.491903641274382
HALLMARK_G2M_CHECKPOINT	-2.49627046110928	0.0004706983167435	Hallmark	lowest endothelial_max_FDR excluding Hypoxia	3.3272573547639697
REACTOME_CELL_CYCLE_MITOTIC	-3.15400422846054	3.03169969009926e-59	Reactome	FDR < 0.05; largest absolute NES; alphabetical tie-break	58.51831382064954
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	-3.01846877140272	4.46667856150805e-29	Reactome	FDR < 0.05; largest absolute NES; alphabetical tie-break	28.350015299819685
REACTOME_M_PHASE	-3.01516842744179	2.08519907717089e-39	Reactome	FDR < 0.05; largest absolute NES; alphabetical tie-break	38.68085247594705
REACTOME_CELL_CYCLE_CHECKPOINTS	-2.97389700736164	1.42301076899723e-32	Reactome	FDR < 0.05; largest absolute NES; alphabetical tie-break	31.84679181326893
REACTOME_SYNTHESIS_OF_DNA	-2.97324346183119	1.04347371542284e-19	Reactome	FDR < 0.05; largest absolute NES; alphabetical tie-break	18.981518486119935
REACTOME_MITOTIC_PROMETAPHASE	-2.96880896138153	4.16156681126744e-26	Reactome	FDR < 0.05; largest absolute NES; alphabetical tie-break	25.38074312865764
