sample_accession	donor	condition	cell_type	cell_count	sample_total	cell_fraction	donor_label
GSM6255907	Normal_1_gene_martix.csv.gz	normal	ACKR1_endothelial	455	8357	0.0544453751346176	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	Schwann_glial	1	8357	0.000119660165131	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	T_fibroblast_mixed	5	8357	0.0005983008256551	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	vascular_endothelial	4763	8357	0.5699413665190858	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	pericyte	145	8357	0.017350723943999	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	fibroblast	2388	8357	0.2857484743328946	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	smooth_muscle	146	8357	0.01747038410913	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	macrophage_myeloid	327	8357	0.0391288739978461	R1
GSM6255907	Normal_1_gene_martix.csv.gz	normal	T_cell	127	8357	0.0151968409716405	R1
GSM6255908	Normal_2	normal	ACKR1_endothelial	189	5571	0.0339256865912762	R2
GSM6255908	Normal_2	normal	Schwann_glial	13	5571	0.0023335128343205	R2
GSM6255908	Normal_2	normal	T_fibroblast_mixed	11	5571	0.0019745108598097	R2
GSM6255908	Normal_2	normal	vascular_endothelial	1532	5571	0.2749955124753186	R2
GSM6255908	Normal_2	normal	pericyte	99	5571	0.0177705977382875	R2
GSM6255908	Normal_2	normal	fibroblast	3266	5571	0.5862502243762341	R2
GSM6255908	Normal_2	normal	smooth_muscle	121	5571	0.021719619457907	R2
GSM6255908	Normal_2	normal	macrophage_myeloid	154	5571	0.0276431520373362	R2
GSM6255908	Normal_2	normal	T_cell	186	5571	0.0333871836295099	R2
GSM6255909	Normal_3	normal	ACKR1_endothelial	185	11644	0.0158880109927859	R3
GSM6255909	Normal_3	normal	Schwann_glial	3	11644	0.0002576434215046	R3
GSM6255909	Normal_3	normal	T_fibroblast_mixed	57	11644	0.0048952250085881	R3
GSM6255909	Normal_3	normal	vascular_endothelial	2692	11644	0.2311920302301614	R3
GSM6255909	Normal_3	normal	pericyte	217	11644	0.0186362074888354	R3
GSM6255909	Normal_3	normal	fibroblast	7237	11644	0.6215218138096874	R3
GSM6255909	Normal_3	normal	smooth_muscle	415	11644	0.0356406733081415	R3
GSM6255909	Normal_3	normal	macrophage_myeloid	374	11644	0.0321195465475781	R3
GSM6255909	Normal_3	normal	T_cell	464	11644	0.0398488491927172	R3
GSM6255910	non-DM1	organic_ED_nonDM	ACKR1_endothelial	770	5906	0.1303758889265154	ED1
GSM6255910	non-DM1	organic_ED_nonDM	Schwann_glial	10	5906	0.001693193362682	ED1
GSM6255910	non-DM1	organic_ED_nonDM	T_fibroblast_mixed	1	5906	0.0001693193362682	ED1
GSM6255910	non-DM1	organic_ED_nonDM	vascular_endothelial	2667	5906	0.4515746698272943	ED1
GSM6255910	non-DM1	organic_ED_nonDM	pericyte	72	5906	0.0121909922113105	ED1
GSM6255910	non-DM1	organic_ED_nonDM	fibroblast	2045	5906	0.3462580426684727	ED1
GSM6255910	non-DM1	organic_ED_nonDM	smooth_muscle	173	5906	0.0292922451743989	ED1
GSM6255910	non-DM1	organic_ED_nonDM	macrophage_myeloid	63	5906	0.0106671181848967	ED1
GSM6255910	non-DM1	organic_ED_nonDM	T_cell	105	5906	0.0177785303081611	ED1
GSM6255911	non-DM2	organic_ED_nonDM	ACKR1_endothelial	53	2853	0.0185769365580091	ED2
GSM6255911	non-DM2	organic_ED_nonDM	Schwann_glial	18	2853	0.0063091482649842	ED2
GSM6255911	non-DM2	organic_ED_nonDM	T_fibroblast_mixed	7	2853	0.0024535576586049	ED2
GSM6255911	non-DM2	organic_ED_nonDM	vascular_endothelial	896	2853	0.3140553803014371	ED2
GSM6255911	non-DM2	organic_ED_nonDM	pericyte	20	2853	0.0070101647388713	ED2
GSM6255911	non-DM2	organic_ED_nonDM	fibroblast	1594	2853	0.5587101296880477	ED2
GSM6255911	non-DM2	organic_ED_nonDM	smooth_muscle	98	2853	0.0343498072204696	ED2
GSM6255911	non-DM2	organic_ED_nonDM	macrophage_myeloid	35	2853	0.0122677882930248	ED2
GSM6255911	non-DM2	organic_ED_nonDM	T_cell	132	2853	0.0462670872765509	ED2
GSM6255912	non-DM3	organic_ED_nonDM	ACKR1_endothelial	591	11179	0.0528669827354861	ED3
GSM6255912	non-DM3	organic_ED_nonDM	Schwann_glial	46	11179	0.0041148582162984	ED3
GSM6255912	non-DM3	organic_ED_nonDM	T_fibroblast_mixed	15	11179	0.0013418015922712	ED3
GSM6255912	non-DM3	organic_ED_nonDM	vascular_endothelial	2858	11179	0.2556579300474103	ED3
GSM6255912	non-DM3	organic_ED_nonDM	pericyte	278	11179	0.0248680561767599	ED3
GSM6255912	non-DM3	organic_ED_nonDM	fibroblast	5048	11179	0.4515609625190088	ED3
GSM6255912	non-DM3	organic_ED_nonDM	smooth_muscle	1786	11179	0.1597638429197602	ED3
GSM6255912	non-DM3	organic_ED_nonDM	macrophage_myeloid	271	11179	0.0242418821003667	ED3
GSM6255912	non-DM3	organic_ED_nonDM	T_cell	286	11179	0.0255836836926379	ED3
GSM6255913	Diabetes_1	organic_ED_DM	ACKR1_endothelial	1117	9058	0.1233164053875027	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	Schwann_glial	3	9058	0.0003311989401633	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	T_fibroblast_mixed	1	9058	0.0001103996467211	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	vascular_endothelial	3281	9058	0.3622212408920292	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	pericyte	169	9058	0.018657540295871	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	fibroblast	2880	9058	0.3179509825568558	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	smooth_muscle	1202	9058	0.1327003753587988	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	macrophage_myeloid	251	9058	0.0277103113270037	D-ED1
GSM6255913	Diabetes_1	organic_ED_DM	T_cell	154	9058	0.017001545595054	D-ED1
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	ACKR1_endothelial	193	10425	0.0185131894484412	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	Schwann_glial	11	10425	0.0010551558752997	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	T_fibroblast_mixed	16	10425	0.0015347721822541	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	vascular_endothelial	2307	10425	0.221294964028777	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	pericyte	256	10425	0.0245563549160671	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	fibroblast	3642	10425	0.3493525179856115	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	smooth_muscle	3270	10425	0.3136690647482014	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	macrophage_myeloid	428	10425	0.0410551558752997	D-ED2
GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	T_cell	302	10425	0.0289688249400479	D-ED2
