gene_symbol	cell_type	column_id	sample_accession	donor	condition	donor_label	raw_count	library_size	log2CPM_prior_0_5	display_rule
TYMS	fibroblast	GSM6255907_Normal_1_gene_martix.csv.gz_normal_fibroblast	GSM6255907	Normal_1_gene_martix.csv.gz	normal	R1	172.0	18666634.0	3.2080625777602467	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255908_Normal_2_normal_fibroblast	GSM6255908	Normal_2	normal	R2	186.0	27320439.0	2.7711230067213397	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255909_Normal_3_normal_fibroblast	GSM6255909	Normal_3	normal	R3	342.0	46787428.0	2.871911129125712	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255910_non-DM1_organic_ED_nonDM_fibroblast	GSM6255910	non-DM1	organic_ED_nonDM	ED1	29.0	18641667.0	0.6621840007234009	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255911_non-DM2_organic_ED_nonDM_fibroblast	GSM6255911	non-DM2	organic_ED_nonDM	ED2	36.0	17567308.0	1.0550032510008907	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255912_non-DM3_organic_ED_nonDM_fibroblast	GSM6255912	non-DM3	organic_ED_nonDM	ED3	50.0	36002131.0	0.48820104423303384	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255913_Diabetes_1_organic_ED_DM_fibroblast	GSM6255913	Diabetes_1	organic_ED_DM	D-ED1	49.0	24844382.0	0.9945088115953614	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
TYMS	fibroblast	GSM6255914_Diabetes_2_gene_martix.csv.gz_organic_ED_DM_fibroblast	GSM6255914	Diabetes_2_gene_martix.csv.gz	organic_ED_DM	D-ED2	41.0	25443242.0	0.7058287679664789	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
EFNB2	fibroblast	GSM6255907_Normal_1_gene_martix.csv.gz_normal_fibroblast	GSM6255907	Normal_1_gene_martix.csv.gz	normal	R1	98.0	18666634.0	2.3996618455510914	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
EFNB2	fibroblast	GSM6255908_Normal_2_normal_fibroblast	GSM6255908	Normal_2	normal	R2	256.0	27320439.0	3.230906202073156	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
EFNB2	fibroblast	GSM6255909_Normal_3_normal_fibroblast	GSM6255909	Normal_3	normal	R3	515.0	46787428.0	3.4617795686459307	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
EFNB2	fibroblast	GSM6255910_non-DM1_organic_ED_nonDM_fibroblast	GSM6255910	non-DM1	organic_ED_nonDM	ED1	559.0	18641667.0	4.907535272337953	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
EFNB2	fibroblast	GSM6255911_non-DM2_organic_ED_nonDM_fibroblast	GSM6255911	non-DM2	organic_ED_nonDM	ED2	603.0	17567308.0	5.102388652875895	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
EFNB2	fibroblast	GSM6255912_non-DM3_organic_ED_nonDM_fibroblast	GSM6255912	non-DM3	organic_ED_nonDM	ED3	1001.0	36002131.0	4.797936267293947	Descriptive fibroblast donor dots only; log2(((count + 0.5)/(library size + 1))*1e6); no hypothesis test.
