gene_symbol	old_logFC	old_PValue	old_FDR	new_logFC	new_PValue	new_FDR	file	cell_type	contrast	cell_type_label	old_FDR_lt_0_05	new_FDR_lt_0_05	complete_pair
EFNB2	-0.153955093208537	0.691177856754206	0.999960893885124	-0.146093010566149	0.706339874235602	0.999758693966924	differential_ACKR1_endothelial_DMED_vs_normal.tsv	ACKR1_endothelial	Diabetic ED vs reference	ACKR1 EC	False	False	True
LRRC17	-0.586385649400312	0.683082625642634	0.999960893885124	-0.697018482880479	0.641237492734057	0.999758693966924	differential_ACKR1_endothelial_DMED_vs_normal.tsv	ACKR1_endothelial	Diabetic ED vs reference	ACKR1 EC	False	False	True
EFNB2	-0.180578825313831	0.542742065256974	0.950312150592472	-0.168871627748659	0.569772309716794	0.954324817165901	differential_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	ACKR1_endothelial	Non-diabetic ED vs reference	ACKR1 EC	False	False	True
EFNB2	2.01602039701454	0.012922970632751	0.379964214749544	2.0523480012051	0.0121417058898182	0.422415742181358	differential_fibroblast_DMED_vs_normal.tsv	fibroblast	Diabetic ED vs reference	Fibroblast	False	False	True
LRRC17	0.723248466346082	0.194214565128125	0.856067405294846	0.695258536602515	0.211452730475929	0.901308344097357	differential_fibroblast_DMED_vs_normal.tsv	fibroblast	Diabetic ED vs reference	Fibroblast	False	False	True
TYMS	-2.11462642362734	0.0004022757615659	0.122299877712403	-2.11917910456144	0.0004470968426239	0.152669315983525	differential_fibroblast_DMED_vs_normal.tsv	fibroblast	Diabetic ED vs reference	Fibroblast	False	False	True
EFNB2	1.80129329020303	6.82023702837592e-05	0.0418815807360207	1.81594592717166	5.43857524152302e-05	0.0393705997310064	differential_fibroblast_nonDM_ED_vs_normal.tsv	fibroblast	Non-diabetic ED vs reference	Fibroblast	True	True	True
LRRC17	2.13444545292636	0.0001252840172101	0.0496330254982467	2.15123356693459	0.0001208333352072	0.0449741882936955	differential_fibroblast_nonDM_ED_vs_normal.tsv	fibroblast	Non-diabetic ED vs reference	Fibroblast	True	True	True
TYMS	-2.32192685135268	6.52520217210713e-05	0.0418815807360207	-2.37146446967605	5.63865109095853e-05	0.0393705997310064	differential_fibroblast_nonDM_ED_vs_normal.tsv	fibroblast	Non-diabetic ED vs reference	Fibroblast	True	True	True
EFNB2	-0.469177994017096	0.185511308869346	0.688064485765404	0.248106798021542	0.717309031671547	0.935578669995194	differential_macrophage_myeloid_DMED_vs_normal.tsv	macrophage_myeloid	Diabetic ED vs reference	Macrophage	False	False	True
