strategy	selected_space	feature	selected_outer_folds	median_abs_coefficient	display_order	feature_label	feature_display_label	selection_rule
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_E2F_TARGETS	3	0.0311477470399938	0	E2F targets	E2F targets [Hallmark rank]	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_MYC_TARGETS_V2	3	0.0278130978545469	1	MYC targets v2	MYC targets v2 [Hallmark rank]	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3	0.0235272189728958	2	TNFα signaling via NF-κB	TNFα signaling via NF-κB	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_UV_RESPONSE_DN	3	0.0206333458829794	3	UV response DN	UV response DN	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_HYPOXIA	3	0.0160005199876671	4	Hypoxia	Hypoxia	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_IL2_STAT5_SIGNALING	3	0.0109952298755861	5	IL2–STAT5 signaling	IL2–STAT5 signaling	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_G2M_CHECKPOINT	3	0.0096597131916723	6	G2M checkpoint	G2M checkpoint	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3	0.0096441071463553	7	Epithelial–mesenchymal transition	Epithelial–mesenchymal transition	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_PROTEIN_SECRETION	3	0.0059451117114607	8	Protein secretion	Protein secretion	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
gene_rank	gene_rank	DKK1	3	0.0057716652211151	9	DKK1	DKK1	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
gene_rank	gene_rank	PTPRA	3	0.003272941056695	10	PTPRA	PTPRA	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
gene_rank	gene_rank	COQ10B	3	0.00304773247143	11	COQ10B	COQ10B	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_COMPLEMENT	3	0.0017098989697349	12	Complement	Complement	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
gene_rank	gene_rank	CERCAM	3	0.0014350424763121	13	CERCAM	CERCAM	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
gene_rank	gene_rank	ADCY4	3	0.0006816827164636	14	ADCY4	ADCY4	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_WNT_BETA_CATENIN_SIGNALING	2	0.0388479686364574	15	WNT/β-catenin signaling	WNT/β-catenin signaling	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
adaptive	Hallmark_rank_score	HALLMARK_MYC_TARGETS_V2	2	0.0376033219341503	16	MYC targets v2	MYC targets v2 [Adaptive]	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
adaptive	Hallmark_rank_score	HALLMARK_E2F_TARGETS	2	0.035924921995284	17	E2F targets	E2F targets [Adaptive]	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_TGF_BETA_SIGNALING	2	0.0307228585050432	18	TGF-β signaling	TGF-β signaling	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
Hallmark_rank_score	Hallmark_rank_score	HALLMARK_FATTY_ACID_METABOLISM	2	0.0300368343126941	19	Fatty acid metabolism	Fatty acid metabolism	selected_outer_folds >= 2; then selected_outer_folds descending, median_abs_coefficient descending, feature alphabetical; capped at 20
