target_gene	condition	metric	target_median_across_donors	control_median_of_donor_medians	ratio_target_to_control_median	controls_le_target	controls_ge_target	control_count	empirical_percentile	conservative_upper_tail_empirical_value
EFNB2	organic_ED_nonDM	top5pct_distance_sum	0.0002504817811524	0.0003340194343948	0.749901818156772	2	8	10	0.2	0.8181818181818182
EFNB2	organic_ED_nonDM	top5pct_distance_mean	3.5783111593202187e-06	4.771706205641107e-06	0.7499018181567721	2	8	10	0.2	0.8181818181818182
EFNB2	organic_ED_nonDM	distance_sum_all	0.0003228066968282	0.0003989345267386	0.8091721202153933	3	7	10	0.2999999999999999	0.7272727272727272
EFNB2	organic_ED_nonDM	distance_mean_all	2.3256966630276762e-07	2.8741680600767605e-07	0.8091721202153933	3	7	10	0.2999999999999999	0.7272727272727272
EFNB2	organic_ED_nonDM	distance_median	9.061590665044665e-09	1.0107849973150394e-08	0.8964904197346694	3	7	10	0.2999999999999999	0.7272727272727272
EFNB2	organic_ED_nonDM	distance_q95	5.878932243216145e-07	6.106485345677753e-07	0.9627358309108736	5	5	10	0.5	0.5454545454545454
EFNB2	organic_ED_nonDM	distance_q99	1.9819273160856223e-06	1.932370736884756e-06	1.0256454821297691	7	3	10	0.6999999999999998	0.3636363636363636
LRRC17	organic_ED_nonDM	top5pct_distance_sum	0.0007211422831296	0.0005803828586088	1.2425285696034447	9	1	10	0.9	0.1818181818181818
LRRC17	organic_ED_nonDM	top5pct_distance_mean	1.0302032616137632e-05	8.291183694412387e-06	1.2425285696034447	9	1	10	0.9	0.1818181818181818
LRRC17	organic_ED_nonDM	distance_sum_all	0.0009069732447935	0.0007460938934747	1.2156288273177371	9	1	10	0.9	0.1818181818181818
LRRC17	organic_ED_nonDM	distance_mean_all	6.534389371711666e-07	5.375316235408531e-07	1.2156288273177367	9	1	10	0.9	0.1818181818181818
LRRC17	organic_ED_nonDM	distance_median	2.3548359260883854e-08	2.1835676353567077e-08	1.0784350747641025	8	2	10	0.8	0.2727272727272727
LRRC17	organic_ED_nonDM	distance_q95	1.4286536227493873e-06	1.1798129682171171e-06	1.2109153410207951	10	0	10	1.0	0.0909090909090909
LRRC17	organic_ED_nonDM	distance_q99	4.693203449914884e-06	3.100564272906004e-06	1.5136610748327366	8	2	10	0.8	0.2727272727272727
TYMS	normal	top5pct_distance_sum	3.321865169348364e-05	3.094955182200434e-05	1.0733160817490748	6	4	10	0.5999999999999999	0.4545454545454545
TYMS	normal	top5pct_distance_mean	4.7455216704976636e-07	4.4213645460006203e-07	1.0733160817490748	6	4	10	0.5999999999999999	0.4545454545454545
TYMS	normal	distance_sum_all	4.415952702308766e-05	4.122029154966548e-05	1.0713055478969806	6	4	10	0.5999999999999999	0.4545454545454545
TYMS	normal	distance_mean_all	3.181522119818996e-08	2.9697616390248903e-08	1.0713055478969806	6	4	10	0.5999999999999999	0.4545454545454545
TYMS	normal	distance_median	2.5693392172540945e-09	1.2189555725256775e-09	2.1078202316516106	7	3	10	0.6999999999999998	0.3636363636363636
TYMS	normal	distance_q95	6.567432984699548e-08	6.269894820683758e-08	1.0474550486930403	6	4	10	0.5999999999999999	0.4545454545454545
TYMS	normal	distance_q99	2.2116633401689e-07	1.9387474941427042e-07	1.140769154751056	6	4	10	0.5999999999999999	0.4545454545454545
