specification	evidence_label	target_gene	condition	aggregation_definition	ES	NES	p_value	FDR_within_Hallmark	leading_edge	leading_edge_size	leading_edge_definition	Hallmark_tested_set_count	call_seed	result_status	rank_input_max_abs_difference	S0_formal_ES	S0_formal_NES	S0_formal_p_value	S0_formal_FDR	S0_ES_abs_difference	S0_NES_abs_difference	S0_p_value_abs_difference	S0_FDR_abs_difference	S0_leading_edge_exact_match	scope_sha256	execution_script_sha256
S0	FORMAL_BASELINE	EFNB2	organic_ED_nonDM	frozen distance plus five-seed median standardized rank plus three-donor consensus	0.226009084036509	0.824799363678354	0.946053946053946	0.946053946053946	GPC3;ATF3;PGF;GPC4;IGFBP3;CHST2;ADM;SRPX;VEGFA;FOS;AKAP12;CDKN1A;JUN;BGN;PNRC1;F3;STC1;ZFP36;SERPINE1;DDIT4;MAFF;SDC3;DCN;PAM;WSB1;BTG1;HS3ST1;NFIL3;CAV1;DUSP1;CDKN1C;CCNG2;PGM1;IER3;MT1E;IRS2;NDRG1;ANXA2;CSRP2;GLRX;BHLHE40;MYH9;SDC2;BCL2;PPP1R15A;LOX;ILVBL;ANGPTL4;KDELR3;TIPARP;HK2;COL5A1;HSPA5;STC2;LDHA;ACKR3;PLIN2;SELENBP1;CITED2;RORA;EFNA1;PRDX5;SDC4;EGFR;HEXA;SLC2A3;TGFBI;ALDOA;CA12;P4HA2;MT2A;HDLBP;UGP2;GBE1;ZNF292;SAP30;BNIP3L;CDKN1B;FOXO3;PGK1;IDS;SLC25A1;TES;NR3C1;P4HA1;PIM1;GAPDH;KLF7;ERRFI1;SLC2A1;ENO1;FOSL2;TPI1;MIF;CHST3	95	S0 rank-level fgsea leading edge	32	2026090807.0	PASS_NUMERIC_RECONCILIATION	5.55111512312578e-16	0.226009084036509	0.824799363678354	0.946053946053946	0.946053946053946	4.44089209850063e-16	3.33066907387547e-16	1.11022302462516e-16	1.11022302462516e-16	True	23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S1	EXPLORATORY	EFNB2	organic_ED_nonDM	distance plus five-seed mean standardized rank plus three-donor mean rank	0.219344168897012	0.799809380859589	0.967032967032967	0.967032967032967	GPC3;ATF3;GPC4;CHST2;VEGFA;PGF;CDKN1A;ADM;IGFBP3;AKAP12;F3;ZFP36;FOS;PNRC1;DDIT4;MAFF;WSB1;SERPINE1;STC1;SRPX;BGN;DCN;PAM;SDC3;NFIL3;JUN;DUSP1;CCNG2;MT1E;BTG1;CDKN1C;NDRG1;PGM1;HS3ST1;CAV1;ANXA2;IRS2;IER3;CSRP2;PPP1R15A;MYH9;BCL2;HSPA5;LOX;EGFR;TIPARP;SDC2;ANGPTL4;PLIN2;GLRX;ILVBL;BHLHE40;PRDX5;ACKR3;EFNA1;CITED2;RORA;TGFBI;LDHA;SELENBP1;KDELR3;HEXA;HK2;COL5A1;CA12;MT2A;SLC2A1;UGP2;SLC2A3;HDLBP;GBE1;VLDLR;PGK1;KLF6;ALDOA;SDC4;GAPDH;NR3C1;STC2;ZNF292;TPI1;CHST3;ERRFI1;KLF7;BNIP3L;FOXO3;SAP30;IDS;PIM1;S100A4;P4HA2;MIF;TMEM45A;FAM162A;ENO1;SLC25A1;P4HA1;PFKP;ERO1A;RBPJ;FOSL2;TES;NEDD4L;TGM2;TPBG;PRKCA;MXI1;ETS1;PFKL;CDKN1B;NAGK;TPD52	112	S1 rank-level fgsea leading edge	32	2026091807.0	EXPLORATORY_COMPLETE		0.226009084036509	0.824799363678354	0.946053946053946	0.946053946053946						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S2	EXPLORATORY	EFNB2	organic_ED_nonDM	Z descending plus S0 median aggregation	0.22597813601592	0.825644856824752	0.944055944055944	0.944055944055944	GPC3;ATF3;PGF;GPC4;IGFBP3;CHST2;ADM;SRPX;VEGFA;FOS;AKAP12;CDKN1A;JUN;BGN;PNRC1;F3;STC1;SERPINE1;ZFP36;DDIT4;MAFF;SDC3;DCN;PAM;WSB1;BTG1;HS3ST1;NFIL3;CAV1;CDKN1C;DUSP1;CCNG2;PGM1;IER3;MT1E;IRS2;NDRG1;ANXA2;CSRP2;GLRX;BHLHE40;MYH9;SDC2;BCL2;PPP1R15A;LOX;ANGPTL4;ILVBL;KDELR3;HK2;TIPARP;COL5A1;HSPA5;STC2;LDHA;ACKR3;PLIN2;SELENBP1;CITED2;RORA;EFNA1;PRDX5;SDC4;EGFR;HEXA;SLC2A3;TGFBI;CA12;P4HA2;ALDOA;MT2A;UGP2;GBE1;HDLBP;CDKN1B;SAP30;ZNF292;FOXO3;BNIP3L;PGK1;IDS;TES;PIM1;SLC25A1;NR3C1;P4HA1;GAPDH;ERRFI1;KLF7;SLC2A1;FOSL2;ENO1;TPI1;CHST3;MIF;FAM162A;S100A4;TPBG;TMEM45A	99	S2 rank-level fgsea leading edge	32	2026092807.0	EXPLORATORY_COMPLETE		0.226009084036509	0.824799363678354	0.946053946053946	0.946053946053946						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S3	EXPLORATORY	EFNB2	organic_ED_nonDM	donor-first Hallmark fgsea followed by descriptive median donor NES		0.845424529625922			ACKR3;ADM;AK4;AKAP12;ALDOA;ANGPTL4;ANXA2;ATF3;BCL2;BGN;BHLHE40;BNIP3L;BTG1;CA12;CAV1;CCNG2;CDKN1A;CDKN1B;CDKN1C;CHST2;CHST3;CITED2;COL5A1;CP;CSRP2;DCN;DDIT4;DTNA;DUSP1;EFNA1;EGFR;ENO1;ERO1A;ERRFI1;ETS1;EXT1;F3;FAM162A;FBP1;FOS;FOSL2;FOXO3;GAPDH;GBE1;GCNT2;GLRX;GPC1;GPC3;GPC4;GPI;GRHPR;HAS1;HDLBP;HEXA;HK2;HS3ST1;HSPA5;IDS;IER3;IGFBP3;IL6;ILVBL;IRS2;JUN;KDELR3;KLF6;KLF7;LDHA;LOX;LXN;MAFF;MIF;MT1E;MT2A;MXI1;MYH9;NAGK;NDRG1;NEDD4L;NFIL3;NOCT;NR3C1;P4HA1;P4HA2;PAM;PDGFB;PFKL;PFKP;PGF;PGK1;PGM1;PIM1;PLAUR;PLIN2;PNRC1;PPARGC1A;PPP1R15A;PPP1R3C;PRDX5;PRKCA;PYGM;RBPJ;RORA;RRAGD;S100A4;SAP30;SDC2;SDC3;SDC4;SELENBP1;SERPINE1;SLC25A1;SLC2A1;SLC2A3;SRPX;STC1;STC2;TES;TGFB3;TGFBI;TGM2;TIPARP;TMEM45A;TPBG;TPD52;TPI1;UGP2;VEGFA;VLDLR;WSB1;XPNPEP1;ZFP36;ZNF292	133	descriptive union of three donor-specific fgsea leading edges; no aggregate-rank inferential leading edge	32		EXPLORATORY_DESCRIPTIVE_NO_P_OR_FDR		0.226009084036509	0.824799363678354	0.946053946053946	0.946053946053946						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S0	FORMAL_BASELINE	LRRC17	organic_ED_nonDM	frozen distance plus five-seed median standardized rank plus three-donor consensus	0.229566760724059	0.844506224961274	0.927072927072927	0.927072927072927	GPC3;ATF3;PGF;GPC4;CHST2;IGFBP3;SRPX;SERPINE1;VEGFA;FOS;AKAP12;CDKN1A;ADM;JUN;ZFP36;F3;DCN;DDIT4;STC1;BGN;MAFF;PAM;SDC3;PNRC1;HS3ST1;WSB1;BTG1;CDKN1C;CAV1;CCNG2;PGM1;MT1E;DUSP1;IER3;IRS2;NDRG1;NFIL3;ACKR3;ANXA2;CSRP2;GLRX;BCL2;SDC2;BHLHE40;PPP1R15A;SLC2A3;LOX;ILVBL;KDELR3;ANGPTL4;HK2;TIPARP;RORA;COL5A1;HSPA5;LDHA;STC2;CITED2;MT2A;UGP2;PLIN2;PRDX5;TGFBI;HEXA;HDLBP;GBE1;EFNA1;MYH9;SAP30;EGFR;P4HA2;PGK1;CDKN1B;CA12;TES;ENO1;NR3C1;P4HA1;ERRFI1;ALDOA;FOXO3;PIM1;FOSL2;SLC25A1;GAPDH;CHST3;VLDLR;TPI1;IDS;NAGK;RBPJ;GRHPR;ZNF292;MIF;CP;TPBG;FAM162A;TMEM45A;BNIP3L;KLF7;SELENBP1;TGM2	102	S0 rank-level fgsea leading edge	32	2026090810.0	PASS_NUMERIC_RECONCILIATION	5.55111512312578e-16	0.229566760724059	0.844506224961274	0.927072927072927	0.927072927072927	1.94289029309402e-16	2.2204460492503099e-16	1.11022302462516e-16	1.11022302462516e-16	True	23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S1	EXPLORATORY	LRRC17	organic_ED_nonDM	distance plus five-seed mean standardized rank plus three-donor mean rank	0.211321365189331	0.772424644602102	0.976023976023976	0.976023976023976	GPC3;ATF3;GPC4;CHST2;PGF;VEGFA;IGFBP3;ADM;F3;AKAP12;CDKN1A;ZFP36;DDIT4;SERPINE1;FOS;PNRC1;MAFF;WSB1;STC1;DCN;SRPX;BGN;PAM;SDC3;CDKN1C;CCNG2;DUSP1;JUN;NFIL3;NDRG1;PGM1;CAV1;BTG1;MT1E;HS3ST1;IER3;ANXA2;IRS2;CSRP2;PPP1R15A;BCL2;SDC2;LOX;TIPARP;HSPA5;RORA;GLRX;ACKR3;ANGPTL4;PLIN2;ILVBL;SLC2A3;BHLHE40;EGFR;TGFBI;CITED2;MYH9;PRDX5;EFNA1;KDELR3;MT2A;COL5A1;CA12;HK2;HEXA;UGP2;LDHA;VLDLR;NR3C1;GBE1;HDLBP;STC2;PGK1;SAP30;GAPDH;SLC2A1;KLF6;ALDOA;ZNF292;TPI1;CHST3;SDC4;FOXO3;SELENBP1;KLF7;ENO1;ERRFI1;BNIP3L;IDS;RBPJ;TES;P4HA1;P4HA2;S100A4;MIF;TMEM45A;TGM2;FAM162A;NEDD4L;PIM1;TPBG;PFKP;SLC25A1;ERO1A;CDKN1B;PFKL;NAGK;TPD52	108	S1 rank-level fgsea leading edge	32	2026091810.0	EXPLORATORY_COMPLETE		0.229566760724059	0.844506224961274	0.927072927072927	0.927072927072927						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S2	EXPLORATORY	LRRC17	organic_ED_nonDM	Z descending plus S0 median aggregation	0.229039191497321	0.834419651495027	0.936063936063936	0.936063936063936	GPC3;ATF3;PGF;GPC4;CHST2;IGFBP3;SRPX;SERPINE1;VEGFA;FOS;CDKN1A;AKAP12;ADM;JUN;ZFP36;F3;DCN;DDIT4;STC1;BGN;MAFF;PAM;SDC3;PNRC1;HS3ST1;BTG1;WSB1;CDKN1C;CAV1;CCNG2;PGM1;MT1E;DUSP1;IER3;IRS2;NDRG1;ACKR3;NFIL3;ANXA2;CSRP2;GLRX;BCL2;SDC2;BHLHE40;PPP1R15A;SLC2A3;LOX;ILVBL;KDELR3;ANGPTL4;HK2;TIPARP;COL5A1;RORA;HSPA5;LDHA;STC2;CITED2;MT2A;PLIN2;UGP2;PRDX5;TGFBI;HEXA;HDLBP;GBE1;EFNA1;MYH9;SAP30;EGFR;PGK1;CA12;P4HA2;CDKN1B;TES;NR3C1;ENO1;P4HA1;ALDOA;ERRFI1;FOXO3;PIM1;SLC25A1;FOSL2;GAPDH;CHST3;VLDLR;TPI1;IDS;NAGK;RBPJ;GRHPR;MIF;CP;ZNF292;FAM162A;TPBG;TMEM45A;BNIP3L;KLF7;SELENBP1;TGM2	102	S2 rank-level fgsea leading edge	32	2026092810.0	EXPLORATORY_COMPLETE		0.229566760724059	0.844506224961274	0.927072927072927	0.927072927072927						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S3	EXPLORATORY	LRRC17	organic_ED_nonDM	donor-first Hallmark fgsea followed by descriptive median donor NES		0.810235317754057			ACKR3;ADM;ADORA2B;AK4;AKAP12;ALDOA;ANGPTL4;ANXA2;ATF3;BCL2;BGN;BHLHE40;BNIP3L;BTG1;CA12;CAV1;CCNG2;CDKN1A;CDKN1B;CDKN1C;CHST2;CHST3;CITED2;COL5A1;CP;CSRP2;CXCR4;DCN;DDIT4;DTNA;DUSP1;EFNA1;EGFR;ENO1;ERO1A;ERRFI1;ETS1;EXT1;F3;FAM162A;FBP1;FOS;FOSL2;FOXO3;GAA;GAPDH;GBE1;GCNT2;GLRX;GPC1;GPC3;GPC4;GPI;GRHPR;HAS1;HDLBP;HEXA;HK2;HS3ST1;HSPA5;IDS;IER3;IGFBP3;IL6;ILVBL;IRS2;ISG20;JUN;KDELR3;KLF6;KLF7;KLHL24;LDHA;LOX;LXN;MAFF;MIF;MT1E;MT2A;MXI1;MYH9;NAGK;NDRG1;NEDD4L;NFIL3;NOCT;NR3C1;P4HA1;P4HA2;PAM;PDGFB;PFKL;PFKP;PGAM2;PGF;PGK1;PGM1;PIM1;PLAUR;PLIN2;PNRC1;PPARGC1A;PPP1R15A;PRDX5;PRKCA;PYGM;RBPJ;RORA;RRAGD;S100A4;SAP30;SDC2;SDC3;SDC4;SELENBP1;SERPINE1;SLC25A1;SLC2A1;SLC2A3;SRPX;STC1;STC2;TES;TGFB3;TGFBI;TGM2;TIPARP;TMEM45A;TPBG;TPD52;TPI1;UGP2;VEGFA;VLDLR;WSB1;XPNPEP1;ZFP36;ZNF292	138	descriptive union of three donor-specific fgsea leading edges; no aggregate-rank inferential leading edge	32		EXPLORATORY_DESCRIPTIVE_NO_P_OR_FDR		0.229566760724059	0.844506224961274	0.927072927072927	0.927072927072927						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S0	FORMAL_BASELINE	TYMS	normal	frozen distance plus five-seed median standardized rank plus three-donor consensus	0.208708977696883	0.761887961518069	0.989010989010989	0.989010989010989	BGN;CA12;SRPX;JUN;CAV1;PGF;GPC4;FOS;ZFP36;SDC2;MT1E;TGFBI;DCN;ENO1;TES;AKAP12;S100A4;BHLHE40;LXN;F3;CDKN1C;KDELR3;COL5A1;VEGFA;LOX;GPC3;SDC4;WSB1;ANXA2;ADM;PAM;CSRP2;RORA;IGFBP3;CP;ACKR3;SERPINE1;DUSP1;PNRC1;GAPDH;PGM1;IER3;CHST2;TGM2;ATF3;HDLBP;PPP1R3C;MYH9;LDHA;SLC2A3;SELENBP1;TPD52;STC1;ALDOA;P4HA1;EGFR;FBP1;PPP1R15A;PIM1;GLRX;HSPA5;BTG1;NFIL3;VLDLR;TIPARP;NAGK;PFKP;GPC1;MAFF;KLF6;NDRG1;EFNA1;UGP2;CDKN1A;IRS2;NEDD4L;HEXA;CDKN1B;NR3C1;MT2A;GAA;PDGFB;SIAH2;SLC2A1;BNIP3L;P4HA2;TPI1;KLF7;ADORA2B;PLIN2;PRDX5;ISG20;MIF;PLAC8;PGK1;ZNF292	96	S0 rank-level fgsea leading edge	32	2026090813.0	PASS_NUMERIC_RECONCILIATION	5.55111512312578e-16	0.208708977696883	0.761887961518069	0.989010989010989	0.989010989010989	1.11022302462516e-16	2.2204460492503099e-16	0.0	0.0	True	23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
S1	EXPLORATORY	TYMS	normal	distance plus five-seed mean standardized rank plus three-donor mean rank	0.208006504521856	0.761431658827478	0.988011988011988	0.988011988011988	BGN;CA12;JUN;SRPX;FOS;SDC2;SERPINE1;DCN;S100A4;ANXA2;GPC4;AKAP12;CAV1;PGF;TES;MT1E;ZFP36;ENO1;CDKN1C;LXN;PAM;KDELR3;TGFBI;ADM;COL5A1;ACKR3;CP;CSRP2;LOX;SDC4;BHLHE40;GAPDH;PNRC1;IGFBP3;GPC3;BTG1;F3;VEGFA;PPP1R3C;NFIL3;STC1;GPC1;EGFR;DUSP1;RORA;WSB1;TPD52;LDHA;SLC2A3;PGM1;SELENBP1;MYH9;NDRG1;PIM1;HDLBP;PPP1R15A;IER3;EFNA1;ATF3;ALDOA;CHST2;GLRX;TIPARP;MAFF;HEXA;KLF6;UGP2;TGM2;VLDLR;P4HA1;CDKN1A;HSPA5;NEDD4L;BNIP3L;TPI1;IRS2;MT2A;FBP1;NR3C1;NAGK;GAA;CDKN1B;P4HA2	83	S1 rank-level fgsea leading edge	32	2026091813.0	EXPLORATORY_COMPLETE		0.208708977696883	0.761887961518069	0.989010989010989	0.989010989010989						23507cf056730789fce1db4f0324c78b33eadff5d93c481de6fddc5f25db41fb	0cfdd78b6f82c276f70883a2c00a2a4a159a7b62f0923d1bc8a72db0a2cc2d5d
