target_gene	condition	donor	seed	profile_type	database	call_seed	ES	NES	p_value	FDR_within_Hallmark	log2err	set_size	leading_edge	leading_edge_size	hallmark_rank	analysis	excluded_seed	included_seeds	formal_five_seed_NES	leading_edge_jaccard_vs_formal	excluded_donor	included_donors	formal_three_donor_NES
EFNB2	organic_ED_nonDM	non-DM_1	2026082701.0	single_seed_network_rank	Hallmark	2026090807	0.267174861158619	0.975030080821371	0.571428571428571	0.703296703296703	0.0395172228473919	191.0	GPC3;ADM;PGF;GPC4;MAFF;BGN;ATF3;DCN;TIPARP;SRPX;STC1;CHST2;PNRC1;IGFBP3;PPP1R15A;VEGFA;WSB1;ZFP36;CDKN1A;SERPINE1;NDRG1;F3;NFIL3;PAM;BTG1;SDC3;AKAP12;ACKR3;PGM1;FOS;KLF6;IRS2;HS3ST1;HSPA5;PLIN2;DUSP1;DDIT4;CDKN1C;KDELR3;PIM1;CCNG2;SDC2;MT1E;GLRX;BHLHE40;ERRFI1;CAV1;HEXA;JUN;LOX;RORA;MT2A;CSRP2;HAS1;PFKP;CHST3;HDLBP;ALDOA;ETS1;ILVBL;NOCT;GBE1;SELENBP1;BNIP3L;MYH9;PGK1;BCL2;ANXA2;TES;HK2;P4HA2;PLAUR;CITED2;FOXO3;TPI1;PRDX5;IL6;FOSL2;P4HA1;TPBG;ANGPTL4;S100A4;KLF7;ENO1;SDC4;NAGK;IDS;DPYSL4;LDHA;UGP2;SLC25A1;EGFR;NR3C1;ISG20;EFNA1;AK4;GAA	97	26	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_1	2026082702.0	single_seed_network_rank	Hallmark	2026090808	0.241667336920524	0.879869369255484	0.856143856143856	0.923209263854425	0.0187018035626708	191.0	GPC3;ADM;PGF;BGN;GPC4;MAFF;IGFBP3;ATF3;DCN;SRPX;TIPARP;CHST2;CDKN1A;VEGFA;PPP1R15A;BTG1;NDRG1;PNRC1;WSB1;STC1;ZFP36;SDC3;SERPINE1;PAM;NFIL3;DDIT4;AKAP12;PGM1;F3;HS3ST1;DUSP1;PLIN2;FOS;KLF6;IRS2;HSPA5;CDKN1C;GLRX;ACKR3;ERRFI1;NOCT;HK2;HAS1;PIM1;SDC2;MT1E;BHLHE40;ILVBL;CCNG2;KDELR3;IER3;ETS1;GBE1;BCL2;ALDOA;HEXA;TES;JUN;CHST3;FOXO3;PGK1;CAV1;LOX;EFNA1;ANXA2;SELENBP1;RORA;CSRP2;ZNF292;AK4;PFKP;PLAUR;PRDX5;S100A4;IL6;MT2A;HDLBP;SLC25A1;MYH9;EGFR;BNIP3L;GAPDH;P4HA2;TMEM45A;FAM162A;CA12;NR3C1;TPBG;LDHA;SDC4;KLF7;ADORA2B;MIF;ENO1;TGFBI;TPI1;CITED2;HK1;IDS;TGM2;RBPJ;NEDD4L;ISG20;KDM3A	104	27	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_1	2026082703.0	single_seed_network_rank	Hallmark	2026090809	0.226985893979341	0.828881777628852	0.949050949050949	0.949050949050949	0.0105706949179311	191.0	GPC3;ADM;PGF;GPC4;BGN;DCN;MAFF;SRPX;BTG1;IGFBP3;WSB1;ATF3;CHST2;SDC3;NDRG1;STC1;PNRC1;PPP1R15A;AKAP12;TIPARP;PAM;ACKR3;VEGFA;CDKN1A;ZFP36;SERPINE1;F3;DDIT4;KLF6;PGM1;HS3ST1;NFIL3;PLIN2;CDKN1C;DUSP1;SELENBP1;CSRP2;IRS2;MT1E;HSPA5;GLRX;KDELR3;MYH9;ANXA2;FOS;MT2A;HEXA;CHST3;PIM1;ERRFI1;CCNG2;NOCT;SDC2;ILVBL;IL6;CAV1;SLC2A3;HAS1;PRDX5;BHLHE40;TES;PLAUR;FOSL2;EFNA1;S100A4;ETS1;EGFR;SDC4;GBE1;PFKP;HK2;PGK1;P4HA2;BNIP3L;FOXO3;IER3;BCL2;JUN;AK4;ALDOA;RORA;CITED2;LOX;TGFBI;ANGPTL4;HDLBP;ENO1;P4HA1;MXI1;TMEM45A;PGAM2;KLF7;SLC2A1	93	32	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_1	2026082704.0	single_seed_network_rank	Hallmark	2026090810	0.237019419295459	0.871922287008792	0.872127872127872	0.900261029293287	0.0174698106128933	191.0	GPC3;ADM;PGF;GPC4;DCN;MAFF;BGN;IGFBP3;STC1;BTG1;ACKR3;CHST2;WSB1;ATF3;SRPX;SDC3;PPP1R15A;TIPARP;NDRG1;PAM;F3;SERPINE1;CDKN1A;PNRC1;ZFP36;AKAP12;VEGFA;DUSP1;HS3ST1;IRS2;PGM1;KLF6;NFIL3;FOS;PLIN2;CSRP2;ANXA2;DDIT4;HSPA5;SELENBP1;KDELR3;HAS1;GLRX;MYH9;MT1E;ANGPTL4;IER3;BHLHE40;HK2;SDC2;GBE1;CAV1;CDKN1C;ERRFI1;HEXA;CCNG2;P4HA2;FOSL2;ETS1;MT2A;PIM1;SDC4;NOCT;IL6;RORA;JUN;CHST3;ILVBL;EGFR;UGP2;PFKP;SLC25A1;EFNA1;PGK1;P4HA1;VLDLR;ZNF292;SLC2A3;BCL2;TES;PRDX5;FOXO3;S100A4;AK4;LOX;NR3C1;PLAUR;IDS;CITED2;BNIP3L;GAPDH;TPBG;PGAM2;NEDD4L;SLC2A1;MIF;SAP30;ENO1;HDLBP;CA12;TPI1;TMEM45A;ALDOA;ERO1A;GAA;MXI1;ENO2;NAGK;PYGM;PRKCA	110	30	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_1	2026082705.0	single_seed_network_rank	Hallmark	2026090811	0.230605254588381	0.842571026409657	0.913086913086913	0.942541329638104	0.0140757415299283	191.0	GPC3;ADM;PGF;GPC4;BGN;IGFBP3;MAFF;DCN;STC1;SRPX;SERPINE1;ATF3;BTG1;PPP1R15A;CHST2;WSB1;PGM1;SDC3;AKAP12;VEGFA;TIPARP;PNRC1;CDKN1A;HS3ST1;PAM;NDRG1;ZFP36;F3;IRS2;ACKR3;HSPA5;CDKN1C;NFIL3;PLIN2;GLRX;CCNG2;FOS;CHST3;SELENBP1;DUSP1;ILVBL;IER3;MT1E;KLF6;CSRP2;KDELR3;SDC2;MT2A;MYH9;ERRFI1;HK2;CA12;BHLHE40;PIM1;ANXA2;TES;FOSL2;DDIT4;NOCT;ANGPTL4;HAS1;CAV1;PGK1;IL6;HEXA;HDLBP;SLC2A3;P4HA2;FOXO3;ETS1;PRDX5;GBE1;SDC4;EGFR;EFNA1;CP;LOX;S100A4;PFKP;ZNF292;IDS;AK4;GAPDH;RORA;TPBG;JUN;BCL2;PLAUR;SLC25A1;COL5A1;CITED2;NR3C1;UGP2;TPI1;GAA;VLDLR;ERO1A;HK1;ISG20;MXI1;DPYSL4;NAGK;BNIP3L;KDM3A;KLF7;SAP30	106	31	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_2	2026082701.0	single_seed_network_rank	Hallmark	2026090812	0.212807590760019	0.780535742242329	0.975024975024975	0.975024975024975	0.0073016717358798	191.0	ATF3;VEGFA;PGF;GPC4;CDKN1A;ADM;AKAP12;SRPX;IGFBP3;CHST2;F3;GPC3;STC1;FOS;DDIT4;HS3ST1;BGN;JUN;SDC3;CCNG2;TGFBI;CDKN1C;ZFP36;PAM;PNRC1;BTG1;WSB1;SERPINE1;CAV1;PGM1;MAFF;ANXA2;MT1E;CITED2;DCN;SLC2A3;BCL2;VLDLR;CSRP2;IER3;COL5A1;PRDX5;BHLHE40;NDRG1;NFIL3;DUSP1;LOX;HK2;ILVBL;EFNA1;CA12;STC2;MYH9;ANGPTL4;ACKR3;IDS;UGP2;NR3C1;EGFR;TPI1;LDHA;IRS2;SLC25A1;PLIN2;SDC4;BNIP3L;SDC2;HEXA;HSPA5;CDKN1B;MXI1;ERO1A;P4HA2;TES;FAM162A;GBE1;SAP30;MT2A;PPP1R15A;LXN;KLF6;NEDD4L;GCNT2;PPARGC1A;SLC2A1;GRHPR;GLRX;FOXO3;P4HA1;SULT2B1;TPBG;HDLBP;ZNF292;NAGK;RBPJ;XPNPEP1;S100A4;PFKL;TIPARP;PRKCA;TMEM45A;PGK1;ENO1;CHST3;KLHL24	105	32	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_2	2026082702.0	single_seed_network_rank	Hallmark	2026090813	0.220061347810525	0.803329562256696	0.97002997002997	0.97002997002997	0.0080191584367862	191.0	ATF3;PGF;GPC3;VEGFA;F3;CDKN1A;GPC4;SRPX;CHST2;ADM;AKAP12;FOS;STC1;BGN;HS3ST1;JUN;TGFBI;ZFP36;DDIT4;IGFBP3;SDC3;PNRC1;PAM;BTG1;CDKN1C;WSB1;SLC2A3;BCL2;CCNG2;PGM1;CAV1;IER3;DUSP1;ANXA2;MAFF;SERPINE1;PRDX5;NDRG1;BHLHE40;MT1E;CITED2;LOX;VLDLR;NFIL3;EFNA1;ANGPTL4;HSPA5;NR3C1;CSRP2;UGP2;DCN;MYH9;CA12;ILVBL;IRS2;PLIN2;SDC4;SLC25A1;IDS;P4HA2;LDHA;ACKR3;BNIP3L;SDC2;TPI1;COL5A1;HEXA;MXI1;FAM162A;HK2;STC2;GBE1;MT2A;EGFR;GLRX;SAP30;PGK1;NEDD4L;FOXO3;ENO1;CDKN1B;GRHPR;ERO1A;HDLBP;NAGK;PPP1R3C;RORA;PRKCA;LXN;TIPARP;TES;MIF;PPARGC1A;TPD52;PPP1R15A;TMEM45A;CHST3	97	32	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_2	2026082703.0	single_seed_network_rank	Hallmark	2026090814	0.226612822219677	0.826872334474249	0.952047952047952	0.955329949238579	0.0102389179310485	191.0	ATF3;VEGFA;GPC4;PGF;GPC3;ADM;CDKN1A;F3;CHST2;FOS;SRPX;JUN;ZFP36;WSB1;AKAP12;DDIT4;BGN;HS3ST1;STC1;SDC3;PAM;CDKN1C;IGFBP3;PNRC1;MAFF;TGFBI;BTG1;CAV1;DUSP1;CCNG2;PGM1;SLC2A3;BCL2;MT1E;IER3;SERPINE1;CITED2;VLDLR;BHLHE40;NDRG1;ILVBL;ANXA2;NFIL3;LOX;IRS2;HSPA5;ACKR3;COL5A1;CSRP2;HK2;DCN;PRDX5;NR3C1;MYH9;UGP2;BNIP3L;ERO1A;CA12;STC2;EFNA1;LDHA;CDKN1B;IDS;HDLBP;GCNT2;PLIN2;MT2A;GBE1;MIF;PPP1R15A;SAP30;ANGPTL4;LXN;HEXA;SDC2;FOXO3;TPI1;SDC4;CHST3;EGFR;TES;SLC25A1;SELENBP1;P4HA2;ENO1;TMEM45A;NEDD4L;FAM162A;SLC2A1;MXI1;ZNF292;NAGK;TIPARP;PPARGC1A;RBPJ;PRKCA;KLF7;GAPDH;S100A4;RORA;KLHL24;PPP1R3C;PGK1	103	28	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_2	2026082704.0	single_seed_network_rank	Hallmark	2026090815	0.235242792160199	0.858398538178394	0.906093906093906	0.935322741774355	0.0146874349112173	191.0	ATF3;VEGFA;PGF;CDKN1A;FOS;CHST2;GPC4;F3;GPC3;ZFP36;JUN;SRPX;PNRC1;AKAP12;BTG1;DDIT4;SDC3;STC1;PAM;TGFBI;BGN;MAFF;WSB1;MT1E;CDKN1C;ILVBL;DUSP1;CAV1;IGFBP3;SERPINE1;PGM1;EFNA1;IER3;BCL2;ADM;SLC2A3;CITED2;NFIL3;BHLHE40;SDC4;CA12;CCNG2;ERO1A;LOX;STC2;CSRP2;HS3ST1;ANGPTL4;NDRG1;ANXA2;NR3C1;PRDX5;VLDLR;MIF;IDS;HDLBP;COL5A1;LDHA;UGP2;HSPA5;TES;BNIP3L;MT2A;ACKR3;DCN;NEDD4L;HK2;FOXO3;SDC2;PPP1R15A;TPI1;MXI1;SAP30;SLC25A1;PLIN2;GBE1;ENO1;CDKN1B;FAM162A;CHST3;IRS2;TPBG;EGFR;ALDOC;XPNPEP1;S100A4;ZNF292;TMEM45A;KLHL24;HEXA;TIPARP;KLF7;RBPJ;PGK1;PFKP;JMJD6;DPYSL4;SELENBP1;RORA;GRHPR;P4HA2;KDELR3;MYH9;ALDOA;GLRX;TPD52	106	31	Seed-level (n=45)							
EFNB2	organic_ED_nonDM	non-DM_2	2026082705.0	single_seed_network_rank	Hallmark	2026090816	0.219113814940297	0.799966607078305	0.982017982017982	0.982017982017982	0.006173563367758	191.0	ATF3;PGF;VEGFA;GPC3;GPC4;F3;CDKN1A;SRPX;ADM;CHST2;AKAP12;HS3ST1;FOS;JUN;BGN;STC1;ZFP36;DDIT4;PAM;TGFBI;SDC3;CDKN1C;PNRC1;MAFF;BTG1;BCL2;WSB1;SLC2A3;SERPINE1;CCNG2;CAV1;IER3;CITED2;DCN;MYH9;IGFBP3;NDRG1;VLDLR;PGM1;MT1E;DUSP1;PRDX5;ILVBL;ANXA2;LOX;BHLHE40;NR3C1;IRS2;NFIL3;EGFR;CSRP2;HK2;COL5A1;GCNT2;STC2;SLC25A1;PLIN2;SDC4;CA12;ANGPTL4;HSPA5;EFNA1;BNIP3L;SLC2A1;SELENBP1;UGP2;HEXA;SDC2;ERO1A;LDHA;P4HA2;PPP1R3C;RORA;NEDD4L;GBE1;HDLBP;TPI1;ACKR3;PGK1;IDS;DTNA;MT2A;GRHPR;MXI1;SAP30;MIF;PPP1R15A;NAGK;P4HA1;GAPDH;PRKCA;LXN;EFNA3;GLRX;S100A4;XPNPEP1;PPARGC1A;TMEM45A;CDKN1B;ZNF292;KDELR3;FAM162A;TIPARP;ALDOA;TPD52;ENO2	106	32	Seed-level (n=45)							
