comparison_type	target_gene	condition	comparison_id_a	comparison_id_b	leading_edge_jaccard	leading_edge_size_a	leading_edge_size_b	status
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082702	0.8108108108108109	97	104	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082703	0.8269230769230769	97	93	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082704	0.8157894736842105	97	110	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082705	0.8454545454545455	97	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082702	non-DM_1|2026082703	0.7747747747747747	104	93	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082702	non-DM_1|2026082704	0.7833333333333333	104	110	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082702	non-DM_1|2026082705	0.7948717948717948	104	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082703	non-DM_1|2026082704	0.8125	93	110	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082703	non-DM_1|2026082705	0.7610619469026548	93	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_1|2026082704	non-DM_1|2026082705	0.8461538461538461	110	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082702	0.8532110091743119	105	97	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082703	0.8738738738738738	105	103	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082704	0.8189655172413793	105	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082705	0.8189655172413793	105	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082702	non-DM_2|2026082703	0.8867924528301887	97	103	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082702	non-DM_2|2026082704	0.8288288288288288	97	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082702	non-DM_2|2026082705	0.8454545454545455	97	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082703	non-DM_2|2026082704	0.8333333333333334	103	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082703	non-DM_2|2026082705	0.8495575221238938	103	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_2|2026082704	non-DM_2|2026082705	0.7966101694915254	106	106	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082702	0.75	99	118	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082703	0.7757009345794392	99	91	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082704	0.8	99	108	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082705	0.75	99	111	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082702	non-DM_3|2026082703	0.6991869918699187	118	91	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082702	non-DM_3|2026082704	0.7384615384615385	118	108	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082702	non-DM_3|2026082705	0.7218045112781954	118	111	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082703	non-DM_3|2026082704	0.7456140350877193	91	108	PASS
