bin_left	bin_right	count
-3.711946229401448	-3.5916064342648477	2
-3.5916064342648477	-3.4712666391282476	3
-3.4712666391282476	-3.3509268439916475	5
-3.3509268439916475	-3.2305870488550474	5
-3.2305870488550474	-3.1102472537184473	7
-3.1102472537184473	-2.9899074585818473	7
-2.9899074585818473	-2.869567663445247	8
-2.869567663445247	-2.749227868308647	15
-2.749227868308647	-2.628888073172047	30
-2.628888073172047	-2.508548278035447	38
-2.508548278035447	-2.388208482898847	50
-2.388208482898847	-2.2678686877622467	69
-2.2678686877622467	-2.1475288926256466	104
-2.1475288926256466	-2.0271890974890465	129
-2.0271890974890465	-1.9068493023524464	172
-1.9068493023524464	-1.7865095072158463	214
-1.7865095072158463	-1.6661697120792462	263
-1.6661697120792462	-1.5458299169426462	389
-1.5458299169426462	-1.425490121806046	572
-1.425490121806046	-1.305150326669446	760
-1.305150326669446	-1.1848105315328459	899
-1.1848105315328459	-1.0644707363962458	1069
-1.0644707363962458	-0.9441309412596457	1274
-0.9441309412596457	-0.8237911461230456	1511
-0.8237911461230456	-0.7034513509864455	1660
-0.7034513509864455	-0.5831115558498454	2136
-0.5831115558498454	-0.46277176071324533	2595
-0.46277176071324533	-0.34243196557664524	3353
-0.34243196557664524	-0.22209217044004514	4276
-0.22209217044004514	-0.10175237530344505	5500
-0.10175237530344505	0.01858741983315504	6242
0.01858741983315504	0.13892721496975513	6294
0.13892721496975513	0.2592670101063552	5048
0.2592670101063552	0.3796068052429553	3742
0.3796068052429553	0.49994660037955585	2883
0.49994660037955585	0.6202863955161555	2183
0.6202863955161555	0.7406261906527551	1532
0.7406261906527551	0.8609659857893557	1210
0.8609659857893557	0.9813057809259562	1057
0.9813057809259562	1.1016455760625559	784
1.1016455760625559	1.2219853711991555	594
1.2219853711991555	1.342325166335756	450
1.342325166335756	1.4626649614723566	314
1.4626649614723566	1.5830047566089562	233
1.5830047566089562	1.7033445517455559	175
1.7033445517455559	1.8236843468821564	141
1.8236843468821564	1.944024142018757	77
1.944024142018757	2.0643639371553566	64
2.0643639371553566	2.1847037322919562	50
2.1847037322919562	2.305043527428557	27
2.305043527428557	2.4253833225651573	26
2.4253833225651573	2.545723117701757	17
2.545723117701757	2.6660629128383566	11
2.6660629128383566	2.786402707974957	8
2.786402707974957	2.9067425031115577	9
2.9067425031115577	3.0270822982481573	6
3.0270822982481573	3.147422093384757	3
3.147422093384757	3.2677618885213575	2
3.2677618885213575	3.388101683657958	1
3.388101683657958	3.5084414787945577	1
