ligand	receptor	source_cell	target_cell	delta_ED_minus_normal	exact_permutation_p	abs_delta	edge_label
HLA-DQA2	CD4	ACKR1_endothelial	macrophage_myeloid	-3.711946229401448	0.1	3.711946229401448	1. HLA-DQA2–CD4
COMP	ITGB1	macrophage_myeloid	smooth_muscle	-3.6586614884221462	0.1	3.6586614884221462	2. COMP–ITGB1
COMP	ITGB1	macrophage_myeloid	pericyte	-3.581800557783019	0.1	3.581800557783019	3. COMP–ITGB1
COMP	ITGB1	macrophage_myeloid	fibroblast	-3.547243540593989	0.1	3.547243540593989	4. COMP–ITGB1
FN1	COL13A1	fibroblast	pericyte	3.5084414787945577	0.1	3.5084414787945577	5. FN1–COL13A1
COMP	ITGB1	T_cell	smooth_muscle	-3.491117405249173	0.1	3.491117405249173	6. COMP–ITGB1
COMP	ITGB1	macrophage_myeloid	vascular_endothelial	-3.4650111218123687	0.1	3.4650111218123687	7. COMP–ITGB1
COMP	ITGB1	T_cell	pericyte	-3.4177237025182072	0.1	3.4177237025182072	8. COMP–ITGB1
HLA-DQA2	CD4	vascular_endothelial	macrophage_myeloid	-3.403665708935792	0.1	3.403665708935792	9. HLA-DQA2–CD4
COMP	ITGB1	macrophage_myeloid	ACKR1_endothelial	-3.39197364761221	0.1	3.39197364761221	10. COMP–ITGB1
COMP	ITGB1	T_cell	fibroblast	-3.38312673311084	0.1	3.38312673311084	11. COMP–ITGB1
FN1	COL13A1	vascular_endothelial	pericyte	3.350434623521588	0.1	3.350434623521588	12. FN1–COL13A1
COMP	ITGB1	macrophage_myeloid	macrophage_myeloid	-3.3502307435318617	0.1	3.3502307435318617	13. COMP–ITGB1
COMP	ITGB1	macrophage_myeloid	T_cell	-3.337996297650537	0.1	3.337996297650537	14. COMP–ITGB1
COMP	ITGB1	T_cell	vascular_endothelial	-3.3064042796233224	0.1	3.3064042796233224	15. COMP–ITGB1
