target_gene	tier	state	display_label	record_count
TYMS	T1_EXACT	NO_VERIFIED_T1_EXACT_RECORD	"NO
RECORD"	0
TYMS	T2_RELATED_HUMAN	NO_VERIFIED_RECORD	—	0
TYMS	T3_OTHER_PRIMARY_HUMAN	VERIFIED_COVERAGE	CRISPRi KD	1
TYMS	T4_HUMAN_CELL_LINE	VERIFIED_COVERAGE	"shRNA KD
CRISPRi KD"	2
TYMS	T5	NO_VERIFIED_RECORD	—	0
EFNB2	T1_EXACT	NO_VERIFIED_T1_EXACT_RECORD	"NO
RECORD"	0
EFNB2	T2_RELATED_HUMAN	VERIFIED_COVERAGE	Ad-overexpression	1
EFNB2	T3_OTHER_PRIMARY_HUMAN	VERIFIED_COVERAGE	CRISPRi KD	1
EFNB2	T4_HUMAN_CELL_LINE	VERIFIED_COVERAGE	CRISPRa (dCas9-VPR activation)	1
EFNB2	T5	NO_VERIFIED_RECORD	—	0
LRRC17	T1_EXACT	NO_VERIFIED_T1_EXACT_RECORD	"NO
RECORD"	0
LRRC17	T2_RELATED_HUMAN	NO_VERIFIED_RECORD	—	0
LRRC17	T3_OTHER_PRIMARY_HUMAN	NO_VERIFIED_RECORD	—	0
LRRC17	T4_HUMAN_CELL_LINE	NO_VERIFIED_RECORD	—	0
LRRC17	T5	NO_VERIFIED_RECORD	—	0
