source_id	figures	role	relative_path	classification	note	exists	size_bytes	sha256
S001	ALL	governing_plan	revision_v2/PLAN_20260911_ENGLISH_MANUSCRIPT_AND_FIGURE_EXPANSION_MERGED_v3.md	FROZEN_PLAN	Merged V3 plan; journal adaptation is recorded separately.	TRUE	25831	245da8a7365a7766cba8db831991110dc8f4a0a33c6c40ff0df99f56c5e5ce5b
S002	ALL	prior_english_draft	revision_v2/03_manuscript/manuscript_en.v2.src.md	TEXT_REFERENCE_ONLY	Numbers and wording require trace-back to formal tables.	TRUE	43988	16437fde6b9346b66ed08253d958d7b3d41f81fb045876e13c313dcc7920a12e
S003	ALL	virtual_perturbation_text	revision_v2/07_virtual_perturbation/09_manuscript_integration/manuscript_zh.v3_virtual_perturbation.src.md	TEXT_REFERENCE_ONLY	Use for narrative provenance, not as numerical source.	TRUE	41219	9311b1b02799849b2818cfa6234c3c2ea79bfbd6c0aa53ceafd21f395ed2068f
S010	1,2	endothelial_count_summary	revision_v2/02_results/endothelial_three_study_summary_v2.tsv	SEALED_RESULT	Counts for 5,139; 1,282; 1,766; 1,035; and 258.	TRUE	172	a68fd5c7b64b9e95d24cb248bc015db4f46c3c341bc31963db1e331fa4f87071
S011	2	endothelial_gene_evidence	revision_v2/02_results/endothelial_three_study_evidence_v2.tsv	SEALED_RESULT	Gene-level three-study and LODO evidence.	TRUE	2378166	ddaaf35894562b74b885cfdbfd09305252ee928ba210fee2a1ecf4275bde9fb4
S012	1	hallmark_bridge_summary	revision_v2/02_results/Hallmark_clinical_bridge_summary_v2.tsv	SEALED_RESULT	Counts for 50 to 49 to 12 to 3 to 1.	TRUE	150	edd30a6f9d745f03b2e1d513ba3ead756b75895ebe0f9da64c372e63008520ab
S013	1	hallmark_bridge_full	revision_v2/02_results/Hallmark_clinical_bridge_v2.tsv	SEALED_RESULT	Strict bridge classification and all context-specific NES/FDR values.	TRUE	21056	5c3af946ef2e1a594573f82033017dff8c874e319bff9954ef22dff2eea12acd
S014	1	hallmark_bridge_long	revision_v2/02_results/figure_source_data/Figure1_Hallmark_bridge_source_data_v2.tsv	SEALED_FIGURE_SOURCE	Long-form bridge plotting table.	TRUE	6795	8ecc75fdfc305d15f853de73963ed493fd2de087b9d3b35c5dfa29a053469eee
S020	2	volcano_GSE243023	analysis/results/GSE243023/differential_IH_CTRL_vs_normoxia_CTRL.tsv	SEALED_RESULT	Prespecified endothelial IH comparison.	TRUE	2249461	baec02e5e1f650109a739f7630e1e60fafe0a71075a2b99d4c0a1a5e6c5602f6
S021	2	volcano_GSE205050	analysis/results/GSE205050/differential_IH_vehicle_vs_normoxia_vehicle.tsv	SEALED_RESULT	Prespecified endothelial IH comparison.	TRUE	2270651	6ac8a88eda1b008407c1a1bef9f51ee700f91f559673681e05eb8ee789e2bf99
S022	2	volcano_GSE10723	analysis/results/GSE10723/differential_IH_vs_control.tsv	SEALED_RESULT	Prespecified endothelial IH comparison.	TRUE	622986	8a82bab70b4fb705bcfaa536c2b9f137c4dc2226f5fd9e2c40f073085b6aa149
S023	2	bulk_effect_matrix	analysis/results/integration/bulk_gene_evidence_matrix.tsv	SEALED_RESULT	Shared effect columns for cross-study density panels.	TRUE	8940574	fcf2796cfa96b0d61ff1e0487c043bb27dd5bcecf7b5b73fd5a5211a0e2e28d4
S024	2	bulk_effect_correlations	analysis/results/integration/bulk_effect_spearman_correlations.tsv	SEALED_RESULT	Reported correlation coefficients.	TRUE	2173	dd1736901452324fe1a3c13b6735f635f020a03d724d81e9b3b981569cefdf42
S025	2	hallmark_cross_dataset	analysis/results/integration/Hallmark_cross_dataset_evidence.tsv	SEALED_RESULT	Hallmark NES/FDR across evidence contexts.	TRUE	16925	89ebac70e9f28345153a51fae39b7c6a04bc334bf728dee98330202c54a94f09
S026	2	reactome_summary	analysis/results/phase3/reactome_multilevel/Reactome_multilevel_summary.tsv	SEALED_RESULT	Reactome test-family summary.	TRUE	242	dfef487837b421b62749fad73827690a22b1547b5cd04851cd1cc21f2e7b574f
S027	2	reactome_endothelial_meta	analysis/results/phase3/reactome_multilevel/Endothelial_IH_meta_Reactome_fgseaMultilevel.tsv	SEALED_RESULT	Full endothelial meta Reactome results.	TRUE	268439	47412b2da32938f8f906c6f7ea88846c405ca89f3d6c42528afe4333b6550d82
S030	3	umap_coordinates	analysis/figures/phase2_manuscript/source_data/Figure2a_UMAP_coordinates.tsv.gz	SEALED_FIGURE_SOURCE	Descriptive UMAP only; no inferential use.	TRUE	687423	068059698ae21be3c7e4cc47ffadf52ebff0c8f79fdf0d466ae99a06982858ec
S031	3	celltype_counts_by_donor	analysis/results/GSE206528/celltype_counts_by_donor.tsv	SEALED_RESULT	Donor-by-cell-type composition.	TRUE	6047	3a6f0f33086cee1a1e32e0d7f2bf60bfc5bc57b8a340f640671e64d22edfe995
S032	3	marker_statistics	analysis/results/GSE206528/markers/markers_all.csv	SEALED_RESULT	Descriptive cluster-marker display.	TRUE	22521	a6e88d7b3934dd4c4c516df86b66ed88b282c4fa357137c8db23512d6c9db4ae
S033	3	celltype_hallmark_evidence	analysis/results/integration/IH_ED_Hallmark_celltype_evidence.tsv	SEALED_RESULT	Donor-pseudobulk cell-type pathway effects.	TRUE	134651	8e1d927a6f99e9e365f97c7447c2371f5b8a14527c58c4bbe2fc9d90afa1771e
S034	3,4	celltype_gene_evidence	analysis/results/integration/IH_ED_celltype_gene_evidence.tsv	SEALED_RESULT	Donor-pseudobulk gene effects and FDR.	TRUE	39759801	2cc975460fb4b961913e8ab8996602ec12033d86a2d159f9321dd7c4444e3cd3
